Timestamp,Full problem credits (Only copy the full italicized portion at the bottom),"Revised Question Text (Optional, don't include italicized credits part)","Revised Fermi Answer, (Optional) ->  Must be an integer","Explanation (If changing answer, provide a brief explanation for how the new answer was reached, nothing insanely long or fancy needed)","Credits (Optional, but we want to thank whoever fixed the problem :D, preferred discord or forums name) "
7/19/2023 1:56:14,"UT Austin Invitational 18-19, #22",,25,"Takes abt 1 hour to climb ->  ~500 kcal burned, 1 mol ATP = 7.3 kcal
500/7.3 * 6E23 = 4e25 molecules",randomeclipse
7/19/2023 22:43:21,"BirdSO In-Person Invitational 22-23, #5",What is 2^12?,,,None
7/20/2023 17:17:15,"BullSO Invitational 22-23, #25",What is the probability of a randomly selected person on Earth having an IQ of above 200?,-11,normCdf with mean as 100 and SD as 15 gives 1.32e-11,randomeclipse
7/20/2023 17:25:07,"UT Austin Invitational 17-18, #19","[Question #6: Yo mamma so fat, she took all the Big Macs sold in the US last year and gobbled â€™em right up! How many pounds of fat are in yo mamma now? Assume that yo mama ainâ€™t burning any oâ€™ those calories, cuz ainâ€™t nobody got time for that!]

Yo mamma not only fat, she so fat that she is seriously concerned about her health and well-being. How many hours would she have to run in order to burn off all those delicious Big Macs from question 6?",,,randomeclipse
7/20/2023 22:03:53,"Seven Lakes Invitational 17-18, #25",How many seconds would it take the average nuclear plant to generate the amount of energy found in the question above? (Question above: How much energy has been used through the consumption of gasoline by all the cars in the world since the invention of the automobile?),,,randomeclipse
7/22/2023 14:43:29,"SOAPS Invitational 22-23, #6",What is 10 ^ (3log(5) + log(20) + 2log(2)) ? Here log denotes the base 10 logarithm.,,,None
7/27/2023 23:59:45,"Carnegie Mellon Invitational 22-23, #15",,5,Average person drinks about 2 liters of water a day. 2 liters/day * 365 days/year * 80 years = 58400 liters. ,IOnlyShoot3s
7/31/2023 1:25:15,"North Pocono Invitational 22-23, #43",,7,"Pew Research Center says it is 22 million people in 2023. Census.gov says that it was 27.6
million people in 2021. It will likely not be 50+ million in 2023",IOnlyShoot3s
7/31/2023 1:31:40,"Clements Invitational 17-18, #13",How many calories do I burn if I climb the Great Wall one stair at a time?,3,3100 stairs on the Great Wall of China. 1 stair burns 0.17 calories. 3100 *.17 = 527 calories,IOnlyShoot3s
7/31/2023 1:40:07,"Duke Invitational 22-23, #6",,19,63 games with 2 possible winners each. 63 * log(2) = 18.96,IOnlyShoot3s
7/31/2023 2:00:12,"RobertYL, daily fermi questions day #18 [2018 Brown Q19]",,0,Height of Washington Monument is 169.29 m. Thickness of a quarter is 1.75 mm and its mass is 6 g. 169.29 m * 1 quarter / .00175 m * 6 grams / 1 quarter * 1 metric ton / E6 grams = .58 metric tons or about 1 metric ton.,IOnlyShoot3s
7/31/2023 2:03:35,"RobertYL, daily fermi questions day #75 [2019 Polytechnic Q19]",,8,"According to avma.org in 2018, there were 76,811,305 dogs as pets.",IOnlyShoot3s
7/31/2023 15:17:58,"Seven Lakes Invitational 17-18, #1",What is 2^2017?,,,None
7/31/2023 22:53:29,"RobertYL, daily fermi questions day #11 [2019 Eastside / Haslett Q14]",,13,Lots of sources saying 30-40 trillion or around 37 trillion,IOnlyShoot3s
8/1/2023 14:27:10,"Highlands Virtual Invitational 22-23, #11        ",What is (1/7)^35?,,,None
8/12/2023 14:48:17,"RobertYL, daily fermi questions day #120 [2019 LISO Q14]        ","Your airplane masses 8 grams. How many fully loaded Airbus A380s is that?

",-8,"fully loaded airbus is ~1e6 lbs or ~5e8 lbs, answer is 8/(5e8) or approx -8",Ryan park
8/13/2023 14:01:47,"Seven Lakes Invitational 18-19, #15        ",,6,"https://en.m.wikipedia.org/wiki/Molar_ionization_energies_of_the_elements

not specified which ionization energy but definitely not 9995",
8/13/2023 19:26:29,"RobertYL, daily fermi questions day #66 [2019 Northmont Q5]        ",,-32,jupiter is more massive than a housefly,
8/14/2023 9:28:22,"High Desert Satellite Invitational 22-23, #24        ",,11,"earth to moon: 3.8e8 meters
penny thickness: 1.52e-3 meters
answer: 2.5e11 pennies",
8/14/2023 11:02:03,"UT Austin Regionals 22-23, #7        ",,,idk what the answer is but 11 doesn't seem right,
8/14/2023 11:14:38,"Princeton Invitational 22-23, #33        ",,8,"sun to earth = 1.5e11 m
SR 71 blackbird top speed = 9.8e2 m/s
= e8 seconds",
8/14/2023 14:44:39,"Duke Invitational 22-23, #22        ",,13,"US debt is 32.7 trillion, US GDP is around 25 trillion. 32.7 - 25 trillion = 7.7 trillion",IOnlyShoot3s
8/14/2023 14:46:44,"Duke Invitational 22-23, #34        ",,1930,2023 * log(9) = 1930,IOnlyShoot3s
8/14/2023 15:39:51,"Seven Lakes Invitational 18-19, #16        ",,-10,3934km = e-10 parsecs,
8/14/2023 22:30:36,"Seven Lakes Invitational 18-19, #26        ",,,not sure what the right answer is but it's definitely not -29,
8/17/2023 15:41:56,"UT Austin Invitational 18-19, #13        ",,8,"10^15 m/s is superluminal, answer should be 8 since c is 3x10^8 m/s, neutron would have to be moving very close to that",errorfunction
8/26/2023 23:10:47,"UChicago Invitational 22-23, #24        ",,-4,A fermi test is 50 minutes; 50 min/test * hr/60 min * day/24 hrs * year / 365 days = .0001 years/test or 10E-4,"Elytraflight, Milpitas Scioly"
8/26/2023 23:19:07,"Seven Lakes Invitational 22-23, #1        ",,0,"There are 365 episodes of Teletubbies according to Google, hence 1 episode per day should last 1 year (10^0)","Elytraflight, MHS Scioly"
9/6/2023 14:04:56,"Golden Gate Invitational 22-23, #16        ",,,what is such a computer,
9/7/2023 14:56:00,"Golden Gate Invitational 22-23, #16","Such a computer: (An Intel i7 chip if all CMOS transistors were replaced with BJTs on an infinite breadboard, assuming that all holes on the breadboard are filled and used solely for the BJT pins.)",,,randomeclipse
9/9/2023 13:08:15,"Seven Lakes Invitational 17-18, #11        ",,,"It says to solve the number of cubes found in the question above, but only 1 question is displayed",
9/9/2023 17:48:28,"Cornell Invitational 22-23, #18        ",How many dislikes does this same video (the most viewed video) have?,,,None
9/10/2023 20:58:34,"Seven Lakes Invitational 17-18, #11        ","Suppose that Feliks Zemdegs (a speedcuber from Australia) takes 10 seconds to solve every Rubikâ€™s cube. How long would it take him, in years, to solve the number of cubes [total number of cube arrangements] found in the question above?",,,None
,,,,,
9/14/2023 11:12:05,"RobertYL, daily fermi questions day #16 [2018 Harvard Q4]        ",,8,Google how many red blood cells are in the human body? and the answer is 2.4 million cells per second times by 60 to change it to minute and you get 144 million cells per minute.,Staplers
9/15/2023 18:17:05,"UT Austin Regionals 22-23, #7        ",,-1,Speed of a bullet is 180-1500 m/s. It does not take 10^11 seconds for a bullet to travel 100 meters.,Hudson Tien (hsin_tn)
9/17/2023 20:41:50,"Duke Invitational 22-23, #21        ",,5,the current debt per person in the US is 96 thousand so 10 to the 5th should be the correct answer,Paresh
9/22/2023 8:28:55,"SOUP Invitational 22-23, #37        ",,-8,"Red light wavelength is about 650nm (6.5E-7 m). Length of a football field (including endzones) is about 110m. 6.5E-7 / 110 = 5.9E-9. Thus, Fermi answer is (-8)",
9/22/2023 8:42:28,"Duke Invitational 22-23, #45        ",,-6,Red light wavelength is about 650 nm = 6.5E-7m = Fermi answer (-6),
9/22/2023 11:27:08,"UChicago Invitational 22-23, #39        ",,13,"35 trillion red blood cells in human body, see source: https://www.texasheart.org/heart-health/heart-information-center/topics/blood-cells/#:~:text=Red%20blood%20cells%20carry%20oxygen,span%20of%20about%20120%20days. ",errorfunction
9/23/2023 20:53:02,"UT Austin Invitational 22-23, #17        ",Total hours of television watched in the US every day. ,9,"The average person in the us could watch 1.5 hours (500,000,000/331,900,000) to 15 hours (4,999,999,999/331,900,000) and it would fall under 10^9 (1,000,000,000) hours total.",sharp59#6969
9/23/2023 22:19:30,"Golden Gate Invitational 22-23, #31        ","They say that it took Thomas Jefferson 1,000 tries to successfully create the first lightbulb. How many Navajo Indians died in that amount of time? ",,jefferson died 50 years before the lightbulb. edison is credited with inventing it,
9/23/2023 22:22:52,"BullSO Invitational 22-23, #10        ",,0,"an estimated 117 billion people have ever lived, 8 billion are alive right now. that makes for 6.3% of people who have ever lived being alive today. that falls under 10^0",sharp59#6969
9/24/2023 16:33:53,"Duke Invitational 22-23, #12        ",,13,The height of mount Everest is 8849.9 meters which when converted to nanometers is 10^13.,BossCrusher667
9/24/2023 16:37:03,"RobertYL, daily fermi questions day #98 [2019 ATX Regionals Q41]        ",,7,The area of the USA is around 10 million km^2 which is 10^7,BossCrusher667
9/24/2023 21:47:56,"University of Michigan Invitational 22-23, #11        ",,4,"avocados grow at 2.5 ft/year, takes 100 years to grow 300 ft. so 10^4 days",
,,,,,
9/27/2023 19:04:16,"SOUP Invitational 22-23, #32        ","Suppose you play a game with the following rules: you roll a fair 20 sided die five times and flip a fair coin. If you roll a twenty every time and get heads, then you win $1,000,000,000. You must pay $20 to play the game. How much money do you expect to win from playing the game 1,000,000 times?",,,randomeclipse
10/4/2023 9:21:56,"RobertYL, daily fermi questions day #120 [2019 WWPN Q3]        ","If I had a nickel for every time an American driver was pulled over for speeding, how many years would it take for me to become the richest person in the world?",,The richest person has 280 billion net worth. That means you need 56 billion nickels and the average is 41 million people an year. I think this question might be old,lordofthesnowleopards (discord)
10/4/2023 13:11:51,"High Desert Satellite Invitational 22-23, #32        ",,2,"in nanometers, 380 nanometers becomes 2 for fermi",
10/5/2023 8:27:03,"Rice Invitational 17-18, #1        ",,10,"2^32 is about 9.6, so it would round up to 10.",discord: emptiespace
10/5/2023 9:05:27,"Camas Invitational 22-23, #25        ",,4,The ISS has an orbital velocity of ~7000 m/s,trainboi01
,,,,,
10/14/2023 20:46:31,"Camas Invitational 22-23, #15        ",Determine the number of barns [Barn = 1.00 * 10 -28 m2 ] covered by Washington stateâ€™s apple orchards.,if you dont change it then the answer is technically 0 since 00*10^-28 is 0,,
10/15/2023 7:23:12,"SSSS Fermi (randomsci) 22-23, #23        ",,24,"It's asking for the moles of the water in the mol of moles, a mol of moles has 6.02x10^23 moles in it, so thats how many moles of water are in it. For the answer to be 48 it would have to be asking for the molecules of water. ",
10/15/2023 7:37:39,"Rice Invitational 17-18, #3        ",0.1^89,,1^89 is 1 so answer would be 0,
10/16/2023 10:28:20,"Duke Invitational 22-23, #21        ",,4,"the 100k is per household, it is likely much lower when accounting every single citizen",
10/21/2023 18:22:50,"Duke Invitational 22-23, #40        ",,8,"molar mass of benzene is 78.11g which is 7.8e7 micrograms, making the answer 8 not 7 since you round up. ",
10/21/2023 18:28:44,"RobertYL, daily fermi questions day #67 [2018 WWPN Tryouts Q1]        ",,25,"24 in each mol, i doubt you have over 100 mols in a cup of water cause that would be a kilogram",
10/21/2023 21:48:54,"BullSO Invitational 22-23, #10        ",,1,"6.3% is above 5, which means the Fermi answer should be 1",
10/26/2023 7:56:18,"UT Austin Invitational 17-18, #21        ",,23,"There are 1.335x10^21 liters of water in the oceans, and since there are about 200 teaspoons in a liter, the answer should be 2x10^23->23.",emptiespace on disc
10/26/2023 8:00:09,"RobertYL, daily fermi questions day #85 [2018 U Georgia Q2]        ",,3,Google (i think the first result is right),emptiespace
10/26/2023 13:37:27,"Columbia Invitational 17-18, #16        ","Using just the letters in the alphabet, how many unique 26-letter sequences are possible?

",37,"Gm...

it is 26 to power 26... equal 6156119580207157310796674288400203776..

methinks answer thus 37..

RB",Craig buszka
10/26/2023 14:07:37,"RobertYL, daily fermi questions day #131 [2019 New Trier Q10]        ",How many licks to the center of a tootsie pop?,2,Google and nigahiga,
10/26/2023 16:47:23,"Yale Invitational 17-18, #5        ",,-1,The answer is requested in kg. The weight is 174g and is about 10^-1 in kg. ,uknow4546
10/26/2023 16:49:59,"UT Austin Regionals 22-23, #14        ",,15,6.7*10^14 is the exact answer and would be 15 in Fermi. ,uknow4546
10/26/2023 17:11:41,"Rice Invitational 17-18, #3        ",0.1^89,,1^89 is 1... which happens to be a fermi answer of 0. ,
,,,,,
10/28/2023 2:51:37,"Duke Invitational 22-23, #36        ",What percentage is that volume compared to mL of water on Earth? [That volume: mL of blood does our heart pumps each day],,,None
10/28/2023 4:00:03,"Princeton Invitational 17-18, #60        ","The Ackermann function is defined by 
â€¢ A(0, n) = n + 1 â€¢ A(m, 0) = A(m âˆ’ 1, 1)
â€¢ A(m, n) = A(m âˆ’ 1; A(m, n âˆ’ 1)) 
Some values include: A(2, 3) = 9 and A(4, 1) = 65533
What is A(4, 2)? [SI/2017 USD]",,,None
10/29/2023 0:26:34,"SOAPS Invitational 22-23, #25        ","The current meerkat population is about 500,000. Approximately how many of these meerkats will be murdered by their own species if we follow all of them to their cause of death? Hint: Meerkats have been deemed the ""most murderous"" mammal species.",5,"Given answer of 5 is impossible since 10^5 > 500; correct answer is 100 (2), as per this study: https://www.npr.org/sections/thetwo-way/2016/09/28/495798448/what-meerkat-murder-tells-us-about-human-violence ",__lockheedmartin (discord)
10/29/2023 20:34:49,"MIT Invitational 22-23, #27        ",43^29,,It looks like they meant 43^29 since the answer would be 47,
10/29/2023 21:28:53,"High Desert Mini Invitational 22-23, #6        ",How tall is Mount Everest (in meters)?,,,
11/1/2023 20:10:08,"UChicago Invitational 22-23, #1        ",,19,"A study in the journal Earth Surface Processes and Landforms, written by Dr. Robert A. Morton of the U.S. Geological Survey, predicted that there are 7.5*10^18 grains of sand on earth. Based off other sources this is also the accepted number in academia.",
11/4/2023 9:26:39,"RobertYL, daily fermi questions day #33 [2018 Westlake Q47]        ",,-21,Diameter of a helium atom is 9.8*10^-11 meters and the diameter of the sun is 1.3927 * 10^9 meters.  Dividing this gives us 7.0366913*10^-20 which is -21 in fermi units.,BTHS Science Olympiad!!
11/5/2023 14:31:34,"Golden Gate Invitational 22-23, #31        ","They say that it took Thomas Edison 1,000 tries to successfully create the first lightbulb. How many Navajo Indians died in that amount of time?",,,
11/6/2023 10:51:04,"UChicago Invitational 22-23, #33        ",,8,"238,900 miles to the moon * 1 hour / 3 miles (average walking pace) * 60 mins / 1 hr * 60 sec / 1 min = 286,680,000 seconds, or 2.8 * 10^8, answer is 8",
11/6/2023 14:59:29,"Rice Invitational 17-18, #10        ",,-6,i hope the question meant -6,
,,,,,
,,,,,
11/7/2023 13:25:51,"SOUP Invitational 22-23, #31        ",,8,"Maybe people got less interested in making soup or something, but 300 million->8 results show up if you look it up on a standard school laptop.",emptiespace
11/7/2023 14:24:36,"Clements Invitational 17-18, #7        ",,21,"Gm...
Surface area of Moon is 3.8 10^13 m^2...
so Volume of Glass.. is.. 1.9 * 10^12 m^3 OR 1.9 * 10^18 cm^3
THUS... around 4 * 10^18 gram or 4 * 10^21 milligram

RB",Ryan park
11/8/2023 15:56:51,"RobertYL, daily fermi questions day #110 [2019 Monta Vista Q22]        ",,9,The US GDP is 2*10^13 USD and the average cost of a car is 3.5*10^4 USD.  When you divide these 2 you get 6.5*10^8 and then you round up to get 10^9,BTHS SciOly
11/9/2023 16:31:53,"North Pocono Invitational 22-23, #15        ",How many galaxies are in the local group?,0,"Im relatively sure the Milky Way is a galaxy, which means theres only one galaxy in the Milky Way. Kinda similar to ""how many countries are in the U.S.?"" i think.",emptiespace
11/10/2023 8:04:00,"SSSs Fermi (luminosityfan) 17-18, #12        ",,8,"Google says that the Atlantic is 4.9 million meters, and that a snail speed is 0.01 meters per second. This gives 4900000/0.01->8 as the fermi answer.",emptiespace
11/10/2023 8:34:01,"SSSS Fermi (randomsci) 22-23, #27        ",,78,The Google Calculator says 6x10^77 -> 78 for the fermi answer.,emptiespace
11/10/2023 8:37:09,"Seven Lakes Invitational 22-23, #38        ",,4,"Google says that it takes 820 hours to walk to the end of a minecraft world. Multiply this by 60 to get 49200. This gets pretty close to the 5 midpoint, but does round down to 4.",emptiespace
11/11/2023 9:53:51,"SSSS Fermi (Adi1008) 17-18, #49        ",,2,Simply divided the thickness of the average piece of paper by the wavelength of blue light,
11/11/2023 22:17:49,"Yale Invitational 17-18, #22        ",Evaluate (Ï€e)^(Ï€e),,,None
11/11/2023 22:19:17,"Yale Invitational 17-18, #19        ",It's Chris's birthday! How many times should he roll a fair 10^10000-sided die before expecting to see a number twice (not necessarily consecutively) ?,,,None
11/14/2023 7:39:50,"Rice Invitational 17-18, #1        ",,9,"When you put 2^32 in a calculator, you get 4294967296 which is 4.2*10^9 so the answer is 9",BTHS Science Olympiad
11/14/2023 14:08:24,"BirdSO Satellite Invitational 21-22, #11        ",What is the sum of the numbers from 1 to 10^5 ?,,"Sum of numbers 1-105 is 5,565, or 4.",Asher N
11/14/2023 14:21:47,"Seven Lakes Invitational 17-18, #7        ","On a chess board, suppose that the queens must be arranged in a manner such that none of the queens could capture another (i.e. none of the queens can be under attack). How many such configurations are possible? Do not include boards that are reflections, rotations, etc.",,"This helps to clarify what the question is about. It was kind of ""cut off"" in the beginning.",
11/15/2023 8:46:39,"Columbia Invitational 17-18, #41        ",,5,"After using compound interest formula, you get around 95K, which round to 10^5.",
11/15/2023 12:37:34,"SOAPS Invitational 22-23, #25        ",,2,"Given answer of 5 is impossible since 10^5 > 500; correct answer is 100 (2), as per this study: https://www.npr.org/sections/thetwo-way/2016/09/28/495798448/what-meerkat-murder-tells-us-about-human-violence",
11/15/2023 16:09:55,"RobertYL, daily fermi questions day #6 [2019 Virginia Tech Q4]        ",,22,"Volume of Pacific Ocean is 5E+17m^3, roughly 1e+4 sheets of paper fit in a cubic meter. Should be 21 or 22.",
11/17/2023 10:17:43,"Seven Lakes Invitational 17-18, #11        ","Suppose that Feliks Zemdegs (a speedcuber from Australia) takes 10 seconds to solve every Rubik's cube. How long would it take him, in years, to solve the number of cubes found in the question above? [Number of cubes = total arrangements of rubiks cubes]",,"This question should not be included as it references a previous question, which is not displayed.",
11/17/2023 20:55:16,"RobertYL, daily fermi questions day #22 [2018 Acton-Box Q15]        ",,7,Searched it up on google. It is around 20 million (10^7),Purple
11/17/2023 22:03:24,"Princeton Invitational 17-18, #46        ",,,"Google says it's ~5700 years, which is fermi 4 (original answer fermi 11)",
11/18/2023 8:20:31,"BirdSO In-Person Invitational 22-23, #1        ",,,"The mass of the sun and the solar mass is around the same, where did 6 come from",
11/18/2023 9:30:24,"RobertYL, daily fermi questions day #80 [2019 U Chicago Q21]        ",,9,I have been listening to Gucci Gang since 1776 and I can confirm this answer is right,Ryan park
11/18/2023 10:23:18,"RobertYL, daily fermi questions day #109 [2018 U Florida Regionals Q14]        ",,19,I used a pipette and confirmed it myself,Ryan park
11/18/2023 11:54:05,"RobertYL, daily fermi questions day #96 [2018 Monta Vista Tryouts Q1]        ",,27,The volume of is 10^21 meters and the weigh of water per cubic meter is 10^3 kg and kg to g is 10^3. Mutiply everything and we get 10^27,
11/18/2023 22:21:02,"High Desert Satellite Invitational 22-23, #11",How tall is Mount Everest in meters?,,,
11/20/2023 22:19:51,"Columbia Invitational 17-18, #41        ",,5,"This is an interest question, to solve this you do 1500*(1.05)^85 which results in approximately 950,00, if continuously compounded it would be about 105,000, both of which are rounded to 100,000 which in fermi notation is 5",iampotatoz
11/22/2023 15:46:29,"SOAPS Invitational 22-23, #25        ",,,the explanation literally says 2 but it says the answer is 1,
11/22/2023 18:00:09,"Captains Tryouts Carmel 17-18, #5        ","How many pennies are in $5,645",,,
11/25/2023 11:30:54,"SSSS Fermi (luminosityfan) 17-18, #20        ",,18,"https://www.usgs.gov/faqs/how-much-natural-water-there#:~:text=Earth%20is%20estimated%20to%20hold,glaciers%20(fresh)%2024%2C064%2C000%20cubic%20kilometers ",Discord: errorfunction
